PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1629604,CJ Elleby,2020,College/University,2020,32.0,33.4,18.4,7.8,1.9,0.523,0.292,2021-22,58.0,20.2,5.8,3.9,1.5,0.491,0.143
1629611,Terance Mann,2019,College/University,2019,37.0,31.7,11.4,6.5,2.5,0.611,0.175,2020-21,67.0,18.9,7.0,3.6,1.6,0.603,0.144
1629614,Andrew Nembhard,2022,College/University,2022,32.0,32.2,11.8,3.4,5.8,0.567,0.186,2022-23,75.0,27.6,9.5,2.7,4.5,0.528,0.159
1629618,Jalen Pickett,2023,College/University,2023,37.0,36.5,17.7,7.4,6.6,0.581,0.273,2024-25,49.0,13.6,4.1,1.4,2.2,0.545,0.13
1629627,Zion Williamson,2019,College/University,2019,33.0,30.0,22.6,8.9,2.1,0.711,0.283,2019-20,24.0,27.8,22.5,6.2,2.1,0.616,0.291
1629628,RJ Barrett,2019,College/University,2019,38.0,35.3,22.6,7.6,4.3,0.537,0.322,2019-20,56.0,30.4,14.3,5.0,2.6,0.479,0.234
1629629,Cam Reddish,2019,College/University,2019,36.0,29.7,13.5,3.7,1.9,0.503,0.253,2019-20,58.0,26.7,10.5,3.7,1.5,0.5,0.185
1629630,Ja Morant,2019,College/University,2019,33.0,36.6,24.5,5.7,10.0,0.621,0.332,2019-20,67.0,31.0,17.8,3.9,7.3,0.556,0.256
1629631,De'Andre Hunter,2019,College/University,2019,38.0,32.5,15.2,5.1,2.0,0.625,0.241,2019-20,63.0,32.0,12.3,4.5,1.8,0.521,0.173
1629632,Coby White,2019,College/University,2019,35.0,28.5,16.1,3.5,4.1,0.561,0.27,2019-20,65.0,25.8,13.2,3.5,2.7,0.506,0.235
1629633,Jarrett Culver,2019,College/University,2019,38.0,32.5,18.5,6.4,3.7,0.548,0.322,2019-20,63.0,23.9,9.2,3.4,1.7,0.467,0.187
